ds,y
2023-05-01,189.25
2023-05-02,190.65
2023-05-03,189.2
2023-05-04,186.4
2023-05-05,191.0
2023-05-08,186.9
2023-05-09,188.0
2023-05-10,187.45
2023-05-11,185.8
2023-05-12,186.0
2023-05-15,193.05
2023-05-16,190.35
2023-05-17,189.85
2023-05-18,190.45
2023-05-19,192.0
2023-05-22,189.2
2023-05-23,187.45
2023-05-24,188.0
2023-05-25,182.7
2023-05-26,181.6
2023-05-30,177.1
2023-05-31,178.65
2023-06-01,183.05
2023-06-02,180.3
2023-06-05,183.1
2023-06-06,182.6
2023-06-07,185.4
2023-06-08,194.85
2023-06-09,190.65
2023-06-12,185.55
2023-06-13,182.75
2023-06-14,184.4
2023-06-15,187.0
2023-06-16,184.9
2023-06-20,177.45
2023-06-21,172.0
2023-06-22,171.7
2023-06-23,168.05
2023-06-26,167.95
2023-06-27,169.45
2023-06-28,165.65
2023-06-29,163.6
2023-06-30,161.0
2023-07-03,162.5
2023-07-05,161.05
2023-07-06,162.35
2023-07-07,162.8
2023-07-10,161.75
2023-07-11,159.3
2023-07-12,158.75
2023-07-13,159.35
2023-07-14,161.95
2023-07-17,154.75
2023-07-18,155.25
2023-07-19,152.45
2023-07-20,158.05
2023-07-21,161.85
2023-07-24,163.0
2023-07-25,161.85
2023-07-26,163.15
2023-07-27,161.45
2023-07-28,157.9
2023-07-31,164.65
2023-08-01,164.55
2023-08-02,166.95
2023-08-03,164.75
2023-08-04,161.35
2023-08-07,163.95
2023-08-08,161.35
2023-08-09,160.75
2023-08-10,159.9
2023-08-11,157.8
2023-08-14,151.1
2023-08-15,149.25
2023-08-16,148.9
2023-08-17,147.0
2023-08-18,147.45
2023-08-21,147.55
2023-08-22,146.6
2023-08-23,152.95
2023-08-24,153.0
2023-08-25,151.75
2023-08-28,151.8
2023-08-29,151.35
2023-08-30,153.35
2023-08-31,152.7
2023-09-01,150.95
2023-09-05,151.4
2023-09-06,151.75
2023-09-07,147.4
2023-09-08,146.25
2023-09-11,151.55
2023-09-12,150.7
2023-09-13,151.05
2023-09-14,153.1
2023-09-15,158.25
2023-09-18,158.7
2023-09-19,167.5
2023-09-20,158.2
2023-09-21,154.85
2023-09-22,151.15
2023-09-25,148.8
2023-09-26,150.85
2023-09-27,149.25
2023-09-28,147.2
2023-09-29,146.15
2023-10-02,149.1
2023-10-03,148.75
2023-10-04,146.35
2023-10-05,145.4
2023-10-06,146.05
2023-10-09,146.05
2023-10-10,147.5
2023-10-11,147.7
2023-10-12,149.3
2023-10-13,154.9
2023-10-16,154.15
2023-10-17,157.05
2023-10-18,158.05
2023-10-19,163.95
2023-10-20,165.25
2023-10-23,165.85
2023-10-24,168.15
2023-10-25,162.3
2023-10-26,161.2
2023-10-27,160.95
2023-10-30,159.1
2023-10-31,167.3
2023-11-01,159.8
2023-11-02,165.35
2023-11-03,170.9
2023-11-06,173.7
2023-11-07,170.75
2023-11-08,174.35
2023-11-09,178.8
2023-11-10,174.5
2023-11-13,178.65
2023-11-14,176.45
2023-11-15,180.8
2023-11-16,176.1
2023-11-17,170.95
2023-11-20,177.9
2023-11-21,176.55
2023-11-22,178.65
2023-11-24,178.65
2023-11-27,179.7
2023-11-28,183.65
2023-11-29,182.1
2023-11-30,195.0
2023-12-01,193.9
2023-12-04,188.9
2023-12-05,193.85
2023-12-06,185.25
2023-12-07,185.5
2023-12-08,185.15
2023-12-11,194.0
2023-12-12,191.15
2023-12-13,194.65
2023-12-14,200.1
2023-12-15,201.8
2023-12-18,209.55
2023-12-19,202.4
2023-12-20,190.6
2023-12-21,193.6
2023-12-22,192.8
