ds,y,kc_centavos_lb,trm
1991-11-27,170046.419147,59.0,693.32
1991-11-29,170384.8834325,59.0,694.7
1991-12-02,159580.867545,60.0,643.42
1991-12-03,158539.184595,60.0,639.22
1991-12-04,154162.46274000002,58.0,635.7
1991-12-05,153146.353382,58.0,631.51
1991-12-06,151227.28678749996,57.5,627.16
1991-12-09,152976.43229549995,57.0,638.06
1991-12-10,149346.58058099996,57.0,622.92
1991-12-11,148705.91800900002,56.0,627.46
1991-12-12,150912.535945875,56.5,633.09
1991-12-13,150736.13878812498,56.5,632.35
1991-12-16,150392.87945412498,56.5,630.91
1991-12-17,149277.286618625,56.5,626.23
1991-12-18,149346.4152345,56.5,626.52
1991-12-19,150101.8282775,56.0,633.35
1991-12-20,147343.1872715,56.0,621.71
1991-12-23,147940.00546324998,56.5,620.62
1991-12-24,148495.418135625,56.5,622.95
1991-12-26,148495.418135625,56.5,622.95
1991-12-27,151434.82420274997,57.0,631.63
1991-12-30,149869.5715605,56.0,632.37
1991-12-31,149869.5715605,56.0,632.37
1992-01-02,153108.29612924997,57.0,638.61
1992-01-03,151662.5890065,57.0,632.58
1992-01-06,152978.82981974998,57.0,638.07
1992-01-07,154737.207174,58.0,638.07
1992-01-08,153882.13152812497,57.5,638.17
1992-01-09,153988.228865625,57.5,638.61
1992-01-10,153807.38113124997,57.5,637.86
1992-01-13,154649.90422199995,57.0,645.04
1992-01-14,158174.26486949998,57.0,659.74
1992-01-15,157634.82191324997,57.0,657.49
1992-01-16,158466.98329,58.0,653.45
1992-01-17,156536.75580674998,57.0,652.91
1992-01-20,154724.22747374998,57.0,645.35
1992-01-21,154872.87397724998,57.0,645.97
1992-01-22,155129.40907199995,57.0,647.04
1992-01-23,151556.18853374998,55.0,647.01
1992-01-24,151556.18853374998,55.0,647.01
1992-01-27,150157.04022962498,54.5,644.83
1992-01-28,150320.04432087496,54.5,645.53
1992-01-29,150243.199535,54.5,645.2
1992-01-30,150860.49313499997,55.0,644.04
1992-01-31,147363.44221774998,53.0,644.27
1992-02-03,144740.57824599996,52.0,640.52
1992-02-04,145623.14274749998,52.5,640.52
1992-02-05,142415.17262775,51.0,638.01
1992-02-06,142334.81422875,51.0,637.65
1992-02-07,142167.40089750002,51.0,636.9
1992-02-10,141819.1811685,51.0,635.34
1992-02-11,143434.45112699998,52.0,634.74
1992-02-12,143400.55509449998,52.0,634.59
1992-02-13,141669.62525925,51.0,634.67
1992-02-14,141877.21779000002,51.0,635.6
1992-02-18,140138.87491999997,50.0,635.66
1992-02-19,140039.66702,50.0,635.21
1992-02-20,141727.66188075,51.0,634.93
1992-02-21,139620.78921999998,50.0,633.31
1992-02-24,137814.57161175,49.0,633.03
1992-02-25,139673.7001,50.0,633.55
1992-02-26,139715.58788,50.0,633.74
1992-02-27,141533.4624165,51.0,634.06
1992-02-28,143246.89308049995,52.0,633.91
1992-03-02,144718.28402624998,52.5,636.54
1992-03-03,148370.37484499998,54.0,640.95
1992-03-04,143730.47647749996,52.0,636.05
1992-03-05,141059.11086575,50.5,635.86
1992-03-06,143884.13849149997,52.0,636.73
1992-03-09,143768.891981,52.0,636.22
1992-03-10,143692.06097399996,52.0,635.88
1992-03-11,146336.44754849997,53.0,639.78
1992-03-12,146244.95581849996,53.0,639.38
1992-03-13,148449.07977899996,54.0,641.29
1992-03-16,147728.830425,53.5,642.0
1992-03-17,147331.42011224997,53.0,644.13
1992-03-18,149037.05193299998,54.0,643.83
1992-03-19,150520.84386624998,55.0,642.59
1992-03-20,149388.59237087498,54.5,641.53
1992-03-23,149118.471305375,54.5,640.37
1992-03-24,148236.11348699997,54.0,640.37
1992-03-25,143305.81155,51.0,642.0
1992-03-26,143263.40017275,51.0,641.81
1992-03-27,142248.17266275,50.5,641.22
1992-03-30,140908.177069,49.0,647.24
1992-03-31,140562.175738875,49.5,641.59
1992-04-01,142416.77097725,50.5,641.98
1992-04-02,143117.78502175,50.5,645.14
1992-04-03,144812.54531012496,51.5,644.77
1992-04-06,145325.84974049998,52.0,643.11
1992-04-07,144138.41385075002,51.0,645.73
1992-04-08,145522.446729,52.0,643.98
1992-04-09,143888.40994275,51.0,644.61
1992-04-10,143419.48726875,50.5,646.5
1992-04-13,139133.12727599998,48.0,647.28
1992-04-14,140500.9286395,48.5,649.48
1992-04-15,140030.98632874998,47.5,655.66
1992-04-16,139617.73030975,47.0,657.97
1992-04-20,140524.338948125,47.5,657.97
1992-04-21,139958.37165749999,47.5,655.32
1992-04-22,138471.87906475,47.0,652.57
1992-04-23,140035.919166,48.0,651.48
1992-04-24,138873.42304,47.5,650.24
1992-04-27,138215.123508,47.0,651.36
1992-04-28,137096.265079125,46.5,650.31
1992-04-29,137442.004610625,46.5,651.95
1992-04-30,135135.62761874998,45.0,653.83
1992-05-01,134183.39712525,44.5,653.58
1992-05-04,134183.39712525,44.5,653.58
1992-05-05,133184.952285,44.0,653.1
1992-05-06,133307.308695,44.0,653.7
1992-05-07,135323.70926249996,45.0,654.74
1992-05-08,135666.80324999997,45.0,656.4
1992-05-11,137791.946699,46.0,657.91
1992-05-12,139734.437381,47.0,658.52
1992-05-13,141989.8187565,48.0,660.57
1992-05-14,140235.21681399998,47.0,660.88
1992-05-15,144432.84085175,49.0,663.43
1992-05-18,144465.4967855,49.0,663.58
1992-05-19,146331.6525,50.0,663.75
1992-05-20,144665.7865125,49.0,664.5
1992-05-21,144360.9977975,49.0,663.1
1992-05-22,142426.16817,48.0,662.6
1992-05-26,143241.80867562498,48.5,662.15
1992-05-27,142876.21378525,48.5,660.46
1992-05-28,140992.06285999998,47.5,660.16
1992-05-29,142080.0979455,48.0,660.99
1992-06-01,142806.6304665,48.0,664.37
1992-06-02,140975.77622975,47.0,664.37
1992-06-03,143180.6442495,48.0,666.11
1992-06-04,142791.58393499997,48.0,664.3
1992-06-05,143258.0264115,48.0,666.47
1992-06-08,142804.480962,48.0,664.36
1992-06-09,143137.65415949997,48.0,665.91
1992-06-10,141304.67797599998,47.0,665.92
1992-06-11,140817.1813785,46.5,667.96
1992-06-12,140724.421992,46.5,667.52
